timestamp_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,udp_host,udp_port,raw_line
2026-07-12T17:44:34.468541+00:00,1,,0,3234,0,12000,500,6000,hd,0,F2,F2,127.0.0.1,5005,"p3,seq=03234,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F2,raw=00"
2026-07-12T17:44:35.477449+00:00,1,,0,3235,0,12000,500,6000,hd,0,F3,F3,127.0.0.1,5005,"p3,seq=03235,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F3,raw=00"
2026-07-12T17:44:36.487212+00:00,1,,0,3236,0,12000,500,6000,hd,0,F4,F4,127.0.0.1,5005,"p3,seq=03236,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F4,raw=00"
2026-07-12T17:44:37.493099+00:00,1,,0,3237,0,12000,500,6000,hd,0,F5,F5,127.0.0.1,5005,"p3,seq=03237,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F5,raw=00"
2026-07-12T17:44:38.497173+00:00,1,,0,3238,0,12000,500,6000,hd,0,F6,F6,127.0.0.1,5005,"p3,seq=03238,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F6,raw=00"
2026-07-12T17:44:39.503837+00:00,1,,0,3239,0,12000,500,6000,hd,0,F7,F7,127.0.0.1,5005,"p3,seq=03239,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F7,raw=00"
2026-07-12T17:44:40.511358+00:00,1,,0,3240,0,12000,500,6000,hd,0,F8,F8,127.0.0.1,5005,"p3,seq=03240,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F8,raw=00"
2026-07-12T17:44:41.522837+00:00,1,,0,3241,0,12000,500,6000,hd,0,F9,F9,127.0.0.1,5005,"p3,seq=03241,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=F9,raw=00"
2026-07-12T17:44:42.528402+00:00,1,,0,3242,0,12000,500,6000,hd,0,FA,FA,127.0.0.1,5005,"p3,seq=03242,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=FA,raw=00"
2026-07-12T17:44:43.536727+00:00,1,,0,3243,0,12000,500,6000,hd,0,FB,FB,127.0.0.1,5005,"p3,seq=03243,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=FB,raw=00"
2026-07-12T17:44:44.540669+00:00,1,,0,3244,0,12000,500,6000,hd,0,FC,FC,127.0.0.1,5005,"p3,seq=03244,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=FC,raw=00"
2026-07-12T17:44:45.552872+00:00,1,,0,3245,0,12000,500,6000,hd,0,FD,FD,127.0.0.1,5005,"p3,seq=03245,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=FD,raw=00"
2026-07-12T17:44:46.558505+00:00,1,,0,3246,0,12000,500,6000,hd,0,FE,FE,127.0.0.1,5005,"p3,seq=03246,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=FE,raw=00"
2026-07-12T17:44:47.563740+00:00,1,,0,3247,0,12000,500,6000,hd,0,FF,FF,127.0.0.1,5005,"p3,seq=03247,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=FF,raw=00"
2026-07-12T17:44:48.570998+00:00,1,,0,3248,0,12000,500,6000,hd,0,E0,E0,127.0.0.1,5005,"p3,seq=03248,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E0,raw=00"
2026-07-12T17:44:49.581545+00:00,1,,0,3249,0,12000,500,6000,hd,0,E1,E1,127.0.0.1,5005,"p3,seq=03249,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E1,raw=00"
2026-07-12T17:44:50.588849+00:00,1,,0,3250,0,12000,500,6000,hd,0,E2,E2,127.0.0.1,5005,"p3,seq=03250,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E2,raw=00"
2026-07-12T17:44:51.595785+00:00,1,,0,3251,0,12000,500,6000,hd,0,E3,E3,127.0.0.1,5005,"p3,seq=03251,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E3,raw=00"
2026-07-12T17:44:52.600602+00:00,1,,0,3252,0,12000,500,6000,hd,0,E4,E4,127.0.0.1,5005,"p3,seq=03252,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E4,raw=00"
2026-07-12T17:44:53.608499+00:00,1,,0,3253,0,12000,500,6000,hd,0,E5,E5,127.0.0.1,5005,"p3,seq=03253,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E5,raw=00"
2026-07-12T17:44:54.620112+00:00,1,,0,3254,0,12000,500,6000,hd,0,E6,E6,127.0.0.1,5005,"p3,seq=03254,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E6,raw=00"
2026-07-12T17:44:55.623933+00:00,1,,0,3255,0,12000,500,6000,hd,0,E7,E7,127.0.0.1,5005,"p3,seq=03255,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E7,raw=00"
2026-07-12T17:44:56.631676+00:00,1,,0,3256,0,12000,500,6000,hd,0,E8,E8,127.0.0.1,5005,"p3,seq=03256,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E8,raw=00"
2026-07-12T17:44:57.638291+00:00,1,,0,3257,0,12000,500,6000,hd,0,E9,E9,127.0.0.1,5005,"p3,seq=03257,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=E9,raw=00"
2026-07-12T17:44:58.643982+00:00,1,,0,3258,0,12000,500,6000,hd,0,EA,EA,127.0.0.1,5005,"p3,seq=03258,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=EA,raw=00"
2026-07-12T17:44:59.657057+00:00,1,,0,3259,0,12000,500,6000,hd,0,EB,EB,127.0.0.1,5005,"p3,seq=03259,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=EB,raw=00"
